ollama-1  | 2026-09-07T13:28:46.347121418Z time=2026-09-07T13:28:46.346Z level=INFO source=routes.go:1961 msg="server config" env="map[CUDA_VISIBLE_DEVICES: GGML_VK_VISIBLE_DEVICES: GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY: HTTP_PROXY: LLAMA_ARG_FIT: LLAMA_ARG_FIT_TARGET: NO_PROXY: OLLAMA_CONTEXT_LENGTH:0 OLLAMA_DEBUG:INFO OLLAMA_DEBUG_LOG_REQUESTS:false OLLAMA_EDITOR: OLLAMA_FLASH_ATTENTION:false OLLAMA_GO_TEMPLATE:true OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://0.0.0.0:11434 OLLAMA_IGPU_ENABLE: OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MAX_TRANSFER_STREAMS:4 OLLAMA_MODELS:/root/.ollama/models OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NO_CLOUD:true OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_REMOTES:[ollama.com] OLLAMA_SCHED_SPREAD:false OLLAMA_VULKAN:true ROCR_VISIBLE_DEVICES: http_proxy: https_proxy: no_proxy:]"
ollama-1  | 2026-09-07T13:28:46.347146002Z time=2026-09-07T13:28:46.347Z level=INFO source=routes.go:1963 msg="Ollama cloud disabled: true"
ollama-1  | 2026-09-07T13:28:46.347465127Z time=2026-09-07T13:28:46.347Z level=INFO source=images.go:883 msg="total blobs: 0"
ollama-1  | 2026-09-07T13:28:46.347723918Z time=2026-09-07T13:28:46.347Z level=INFO source=images.go:890 msg="total unused blobs removed: 0"
ollama-1  | 2026-09-07T13:28:46.347727835Z time=2026-09-07T13:28:46.347Z level=INFO source=routes.go:2023 msg="Listening on [::]:11434 (version 0.31.1)"
ollama-1  | 2026-09-07T13:28:46.348012585Z time=2026-09-07T13:28:46.347Z level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=3h27m0.79013006s consecutive_failures=0
ollama-1  | 2026-09-07T13:28:46.348575460Z time=2026-09-07T13:28:46.348Z level=INFO source=runner.go:60 msg="discovering available GPUs..."
ollama-1  | 2026-09-07T13:28:46.350136210Z time=2026-09-07T13:28:46.350Z level=INFO source=model_list_cache.go:111 msg="model list cache hydration complete" models=1 failures=0 elapsed=2.357959ms
ollama-1  | 2026-09-07T13:28:46.428749543Z time=2026-09-07T13:28:46.428Z level=INFO source=types.go:50 msg="inference compute" id=cpu library=cpu compute="" name=cpu description=cpu libdirs=ollama driver="" pci_id="" type="" total="9.7 GiB" available="9.7 GiB"
ollama-1  | 2026-09-07T13:28:46.428771043Z time=2026-09-07T13:28:46.428Z level=INFO source=routes.go:2073 msg="vram-based default context" total_vram="0 B" default_num_ctx=4096
ollama-1  | 2026-09-07T13:28:56.359461006Z [GIN] 2026/09/07 - 13:28:56 | 200 |     158.333µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T13:28:56.360302548Z [GIN] 2026/09/07 - 13:28:56 | 200 |     639.292µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T13:29:06.418365928Z [GIN] 2026/09/07 - 13:29:06 | 200 |      58.583µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T13:29:06.418681636Z [GIN] 2026/09/07 - 13:29:06 | 200 |     266.167µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T13:29:16.486039293Z [GIN] 2026/09/07 - 13:29:16 | 200 |    1.140209ms |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T13:29:16.487110043Z [GIN] 2026/09/07 - 13:29:16 | 200 |       842.5µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T13:29:26.556837673Z [GIN] 2026/09/07 - 13:29:26 | 200 |     119.292µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T13:29:26.557681632Z [GIN] 2026/09/07 - 13:29:26 | 200 |     635.167µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T13:29:36.622097261Z [GIN] 2026/09/07 - 13:29:36 | 200 |       45.75µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T13:29:36.622534011Z [GIN] 2026/09/07 - 13:29:36 | 200 |       274.5µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T13:29:46.706631752Z [GIN] 2026/09/07 - 13:29:46 | 200 |      206.75µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T13:29:46.707834044Z [GIN] 2026/09/07 - 13:29:46 | 200 |    1.091125ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T13:29:56.766476632Z [GIN] 2026/09/07 - 13:29:56 | 200 |      88.792µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T13:29:56.766833798Z [GIN] 2026/09/07 - 13:29:56 | 200 |     283.042µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T13:30:06.841892678Z [GIN] 2026/09/07 - 13:30:06 | 200 |     215.167µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T13:30:06.842814470Z [GIN] 2026/09/07 - 13:30:06 | 200 |     726.792µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T13:30:16.911531835Z [GIN] 2026/09/07 - 13:30:16 | 200 |      38.708µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T13:30:16.911949085Z [GIN] 2026/09/07 - 13:30:16 | 200 |     348.291µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T13:30:26.993319465Z [GIN] 2026/09/07 - 13:30:26 | 200 |      392.75µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T13:30:26.995763840Z [GIN] 2026/09/07 - 13:30:26 | 200 |    1.905292ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T13:30:37.057639303Z [GIN] 2026/09/07 - 13:30:37 | 200 |        29.5µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T13:30:37.057998512Z [GIN] 2026/09/07 - 13:30:37 | 200 |     231.708µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T13:30:47.151609502Z [GIN] 2026/09/07 - 13:30:47 | 200 |     168.334µs |       127.0.0.1 | HEAD     "/"
